№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
2574&90c570cceb5042778c0fafcd426ca405&	RoZmro ОТЛИЧНАЯ ТАТУИРОВКА , Я ПРОСТО БАЛДЕЮ . ПРЯМ СУПЕРВАААУ&['Ни одного']&100.0&KachalovskijAV
2575&e70c5eb02a7f446f906f2b580c38240b&	Прекрасно вас понимаю &['Ни одного']&100.0&KachalovskijAV
2576&0ab0bca37de147eface08b485731552c&	Будьте аккуратны с мытьем кота это может быть опасно &['Ни одного']&100.0&KachalovskijAV
2577&78d47365c8634e3884afa7cfd78ade7e&	Блииин надела платье , ( нахуя ? ) а ноги ужасно страшные  все в ссадинах и синяках &['Ни одного']&100.0&KachalovskijAV
2578&207d778dfae24d0dbd3744e0f951f9f9&	 А , заявляя это , пальчики не как Тихонов в кф ЧП держишь ? ! . . . &['Ни одного']&100.0&KachalovskijAV
2579&f4cb292a11d948c4a18fe20a68895735&	IBM запустила стабильную криптовалюту , привязанную к курсу американского доллара  так называемый криптодоллар .&['Ни одного']&100.0&KachalovskijAV
2580&dedf7c2eaa6d4a54bca3fb433032720a&	У меня сегодня ужасный мороз и день️ Надеюсь , что ваш день будет намного теплее и лучше .&[['грусть']]&100.0&KachalovskijAV
2581&5069d90995f247bfb593afa0d6706f1f&	сон для слабаков&['Ни одного']&100.0&KachalovskijAV
2582&afec89df7219451c86355aca251cd267&	Кажется , я простыл , когда бегал под дождем .&['Ни одного']&100.0&KachalovskijAV
2583&1d0b907e5c4e47d9905045675fd5e58d&	Как он еще работает ? ? ?  pictwittercomOpyHIMOqD&['Ни одного']&100.0&KachalovskijAV
2584&99acff7778964e0e91ae02ab0416d9f0&	Сначала посмотрел куда падать потом упал &['Ни одного']&100.0&KachalovskijAV
2585&9c6793c4385441cc90c502771adfd50a&	Сук ) ) почему так грустно то &[['грусть']]&100.0&KachalovskijAV
2586&c5fd2ca8d0ed413a9867561d5f14b848&	Особенно , когда сразу фсе выложить . &['Ни одного']&100.0&KachalovskijAV
2587&4324a98b28924636b41c23090b938c71&	Буду ждуть выходов всех  серии , глядишь заново завоюют меня , как при просмотре за неделю ти сезонов  .&['Ни одного']&100.0&KachalovskijAV
2588&4145c5cc4c5d44b6b2e00e1e4d96fe18&	Гдето я это уже читалА , дык как раз в начале прошлого сезона РФПЛ про зенит&['Ни одного']&100.0&KachalovskijAV
2589&7d2b0be9eb934905b65f00310188416f&	Господи , как же хочется спать  Доброе утро &['Ни одного']&100.0&KachalovskijAV
2590&6ddf193717cf44ee834d446df6176d5e&	Всех люблю ! &['Ни одного']&100.0&KachalovskijAV
2591&c840055102c240ef9df199e554c8e21e&	Я не меняла &['Ни одного']&100.0&KachalovskijAV
2592&75c958dca5d34b06bb84ff9d415e7b01&	 Потрясающе  Ааааа , не могу &['Ни одного']&100.0&KachalovskijAV
2593&af9ef6136e534abbb16bccc82d73ee31&	Распять  Этим дрессировщикам бы собой покомандовать  pictwittercomXJdQVb&['Ни одного']&100.0&KachalovskijAV
2594&20ddcb8484214939b9305617ad1463e3&	JeniaDepo поговори со мной&['Ни одного']&100.0&KachalovskijAV
2595&236763b77ea445d18ff899999b241bfc&	Ой , боже Надеюсь мне такого не будет &['Ни одного']&100.0&KachalovskijAV
2596&79f0f00dd20b4b71be5fdd593898f347&	Очень неприятно , конечно  Не расстраивайся , пожалуйста &['Ни одного']&100.0&KachalovskijAV
2597&a26fcb97738f4c19b28494ec91eb5896&	Проснулась в  :  из за грома и молнии  Стало страшно &[['страх']]&100.0&KachalovskijAV
2598&fa266e443909478e9b393ace4162c71b&	Да иди нахуй&[['гнев']]&100.0&KachalovskijAV
2599&9a683d37bfbb48fa86ddc1df482f4064&	Боже колбаса .... &['Ни одного']&100.0&KachalovskijAV
2600&3da94360c54f4740a11980177293dc67&	Артур Сита - Страх Смерти    с помощью YouTube&['Ни одного']&100.0&KachalovskijAV
2601&d865eaefb11f45e485c6f6c81a3437e6&	Только вчера приехали , а старший утром уже дышать не может ! &['Ни одного']&100.0&KachalovskijAV
2602&10148369521944fc930fb12caa715ef0&	Мы с Томарой , ходим парой &['Ни одного']&100.0&KachalovskijAV
2603&7998daf37db74d5593b45883aafd8086&	выздоравливай скорее &['Ни одного']&100.0&KachalovskijAV
2604&653854f9510044d18e1d794b4b5305b9&	Наши ребята в миграции научились работать , как роботы   pictwittercomDUIVTSFO&['Ни одного']&100.0&KachalovskijAV
2605&fafa265f04cc48eeaf45d8f936b289f0&	мои дети  pictwittercomSycTMAmp&['Ни одного']&100.0&KachalovskijAV
2606&e613b6f1f8a040d9b7607d1ad01c8ea8&	 еще то не долечила , а уже поновой простыла &['Ни одного']&100.0&KachalovskijAV
2607&5902ff550a6a4eecbf1031ba80a18882&	Сделайте все дела за меня , пожалуйста &['Ни одного']&100.0&KachalovskijAV
2608&7e680b93d39b479fad927962dfa68c41&	Сегодня до меня вдруг както резко дошла одна мысль . . .  а я ведь больше не ребенок . . . и даже не подросток&['Ни одного']&100.0&KachalovskijAV
2609&6e1f1675046b4a758c0b03a01e2b006a&	 когда вилки кладут справа &['Ни одного']&100.0&KachalovskijAV
2610&27436e2c36114b2f829e9f9e9a9c07f6&	Ну почему так стыднооо ？&['Ни одного']&100.0&KachalovskijAV
2611&bd4f5c17b46248d2bddc3ccd19a4feb7&	  # FIBAUEurope&['Ни одного']&100.0&KachalovskijAV
2612&4de3c018436e44f9babb7fcd5ec5cbbf&	Ууух ! ! ! !&['Ни одного']&100.0&KachalovskijAV
2613&001ee62b4202467f9ed786f2a7ef524d&	Аха , аха&['Ни одного']&100.0&KachalovskijAV
2614&ed4b702ac8c44405bbd29bf12a677fe1&	Cabron laliendraa &['Ни одного']&100.0&KachalovskijAV
2615&be5776d2048e4d078499d27c5bd896da&	Одни девочки &['Ни одного']&100.0&KachalovskijAV
2616&2db3a56d8f974903a178030058e5c1ac&	Вот хочу забухать щас оч с annryzhik &['Ни одного']&100.0&KachalovskijAV
2617&5914f7f09d1144a88628de0b9efb4860&	Что ж придется ждать норм качества&['Ни одного']&100.0&KachalovskijAV
2618&9a951241b0484f618a8d9d2f92b68fc5&	В питер хочу ! ️&['Ни одного']&100.0&KachalovskijAV
2619&4cf1e3b3e57749c0a8acf0e25e52c86e&	Нравится ?&['Ни одного']&100.0&KachalovskijAV
2620&78c592aa2f884e50bcbe6acd99113305&	А пока что . . . .&['Ни одного']&100.0&KachalovskijAV
2621&fe7e3b8786724b368dd959ace741aed1&	Хихиих милота  А я сейчас засыпаю в автобусе и просыпаюсь через каждые  минут чтобы точно не проспать нужный город &['Ни одного']&100.0&KachalovskijAV
2622&de4fcead7106433ab4e8b50336ef607d&	Ужгородский вокзал напоминает мне цыганский табор .&['Ни одного']&100.0&KachalovskijAV
2623&e6775f602cef4dfda1fc482e26f7bb3b&	Нельзя объять необъятное . ️ &['Ни одного']&100.0&KachalovskijAV
2624&6c84337b08a1406e9a7fbfc9df7768db&	Умеет выстроить барьеры .&['Ни одного']&100.0&KachalovskijAV
2625&923a3df3dbd945d09890e63f3b4217bd&	Хуя !  Вся страна с задором и попкорном  считает уебавшихся и рисует на мосту звездочки .&['Ни одного']&100.0&KachalovskijAV
2626&9bd15fb9234a4129b2f650a3344bbb97&	это нормально , хотеть побыстрее убраться с работы , что бы включить в плеере нимфоманку монеточки ? &['Ни одного']&100.0&KachalovskijAV
2627&8f947d6227f14b2d93b11bbeb68129d6&	  ️ . по библейскому васпитывать️ ️ всех . одной наздрей дышать команда ! песни вместе носить . мать йе баннули на на иди&['Ни одного']&100.0&KachalovskijAV
2628&e44d02a96c51414ab17ee9c15c8b9225&	Хотя могли свой яд выпустить , его спасло то , что мы были уже под шотами &['Ни одного']&100.0&KachalovskijAV
2629&f9094707a5964e12bffd63e27a0cc3fb&	Всегда пожалуйста &['Ни одного']&100.0&KachalovskijAV
2630&45d81d2d1ee74f4cb7678ed10816259c&	когда встречаешь утро с ужасной головной болью и ломотой в теле  pictwittercomeAyUIIWmq&[['грусть']]&100.0&KachalovskijAV
2631&b3b4c3f52d1641db99e88816faf9df1a&	Сейчас бы не выключить будильник и встать в выходной в  утра &['Ни одного']&100.0&KachalovskijAV
2632&87c3ac437fe646508fdae9606a821c7b&	Две обезьянки  pictwittercomfwwLSWLs&['Ни одного']&100.0&KachalovskijAV
2633&9b0dfee27ceb4ce7acfd611d0bc9ea67&	Ыыыыы , капец страшно ( ( ( Молния , гром , ливень  ужас&[['страх']]&100.0&KachalovskijAV
2634&bb6e825eb13e45c09ac90d7d4c20b67c&	Только с намного большими переживаниями .&['Ни одного']&100.0&KachalovskijAV
2635&a5b78804db4c48b28282e0cc85491066&	Эх подруга мне б тоже на днюху Сынри&['Ни одного']&100.0&KachalovskijAV
2636&0f54185842fa4c47b592c7f27615fbc4&	Вопше то я показала там себя Не думай о таком обнял pictwittercomdPGntBsF&['Ни одного']&100.0&KachalovskijAV
2637&4b0b82c6f2f4436ea5a1557822d301a8&	Ну конечно &['Ни одного']&100.0&KachalovskijAV
2638&a377192066734c239da1b7601378c02d&	 Жутких СКСУАЛЬНЫХ традиций которые практикуют в Африке в наше время !&['Ни одного']&100.0&KachalovskijAV
2639&c2d1dfc19359452198f7eb2b70964e81&	Ну вот кто просит меня просыпаться в четыре утра?  pictwittercomLroqzmmm&['Ни одного']&100.0&KachalovskijAV
2640&bfd0cfa99ae5451e837c060a246a7ba1&	ЪеоЖех Ретвитнула ) МИД России &['Ни одного']&100.0&KachalovskijAV
2641&cd11029407e34f24b991403fcdf401dc&	запретите чупачупсы немедленно  развратник &['Ни одного']&100.0&KachalovskijAV
2642&949aa28ec2b04038aa81b9f3b361def7&	Сарсын олох долгутуулаах кун инд бляятьунабын ду хйыыбын ду , айка сарсынны кун бутэ огус эрэ&['Ни одного']&100.0&KachalovskijAV
2643&6a0719eb96214e6a8a74c83a871f9439&	Открываю новую рубрику # НеУспелВключитьМузыку  ⠀ Еду домой с работы , еще не успел включить музыку в уши   .&['Ни одного']&100.0&KachalovskijAV
2644&dee3a86774fd487091edae38d57c689e&"	Сколько бабла на "" это "" списали ?"&['Ни одного']&100.0&KachalovskijAV
2645&5c886f35f414490797bd5b2e5ddcc453&	/ /  Вам нужен мультикошелек где были бы . .&['Ни одного']&100.0&KachalovskijAV
2646&ce49fa5230cc42d2a918083ba6a74e2a&	Ты куришь , наверное &['Ни одного']&100.0&KachalovskijAV
2647&d65a1fe22800434e81ed6b39306ae005&	СКА разгромлен на собственном льду   pictwittercomEmIiKBYGN&['Ни одного']&100.0&KachalovskijAV
2648&3b7c2aa818cf481192147bf508e78181&	А теперь заставьте меня дорисовать Чжэнтина  pictwittercomRTMOEMrW&['Ни одного']&100.0&KachalovskijAV
2649&72cbd8f3b3d54be6964abe986d4b7441&	после  сентября как то ничего не хочется делать  даже заходить в соц сети &[['грусть']]&100.0&KachalovskijAV
2650&dcc482febd844129acf6b03f4feb45d9&	More и Babylon это просто что то  # YOUNGBLOOD # YoungbloodAlbumpictwittercomvNplQyWNcO&['Ни одного']&100.0&KachalovskijAV
2651&5e140c6855a04266a6b1114061607d35&	Я РИЛ НЕ ВИНОВАТА КАКТО САМО ВСЕ ПОЛУЧИЛОСЬ &['Ни одного']&100.0&KachalovskijAV
2652&06d0069effac4711bd2fead8411b1fff&	Когда у подруги появляется очередной парень  pictwittercomwhfMBxx&['Ни одного']&100.0&KachalovskijAV
2653&13b8f268af3f4a1f945e14771363906e&	# SM소속가수보호해 Скагде СМ ?&['Ни одного']&100.0&KachalovskijAV
2654&ca835ad1490149f090fb169c197f37cd&	Это АПОФЕОЗ ⤵ pictwittercomUVRKht&['Ни одного']&100.0&KachalovskijAV
2655&1e88d87ea88644bbb4ef6d32264c0a27&	Чима ведь самый светлый человек  # JiminWorldwideLovedpictwittercomKcoczJuS&['Ни одного']&100.0&KachalovskijAV
2656&27ff940e1dc24fb1b63a9487351b358e&	я не хотела этого знать &['Ни одного']&100.0&KachalovskijAV
2657&766a8a3d7eee4a87a7ddac0bcc2186f2&	Qýanysh Ретвитнул( а ) LandsEnd&['Ни одного']&100.0&KachalovskijAV
2658&4dfd4f2100e34abf8754121bf865407a&	Ты такая красивая &['Ни одного']&100.0&KachalovskijAV
2659&8abcab3a1045486ba8f0101c8a31d7ba&	То что вы употребляете  ️ Делаем мы ! pictwittercomeFwEIzNCrK&['Ни одного']&100.0&KachalovskijAV
2660&5085c69a6ab649f29486eb09882fbf92&	 Торопитесь !  Пусть Jenhair Vietnam даст вам лучшие выборы ️️️ Свяжитесь с нами , чтобы иметь  &['Ни одного']&100.0&KachalovskijAV
2661&d6b2a3ebc90f48e1bc1112a4f878a984&	Сколько тебе хватает времени чтобы выспаться ?   -  &['Ни одного']&100.0&KachalovskijAV
2662&04485cbd139a4e8584f5da9e4da91bf5&	лента все зачисляется и зачисляется в универы  ох то чувство когда сама в том году испытывала тоже самое  сколько было пролито слез горести&['Ни одного']&100.0&KachalovskijAV
2663&55983817fc6b4a02933fdb9098b8cfc4&	Знал бы кто Не болейте , пожалуйста . .&['Ни одного']&100.0&KachalovskijAV
2664&40beefd184f54968a0e4f5d714ed342e&	Это как ? pictwittercomcKstLzzM&['Ни одного']&100.0&KachalovskijAV
2665&07c350e98503410c95e3418a9046e0d5&	Все княжество блевать будет &[['отвращение']]&100.0&KachalovskijAV
2666&0d36884b2f5b43e28aebe946fa64c81c&	То что  ?&['Ни одного']&100.0&KachalovskijAV
2667&01bc7e7607434a1fbb93463fc1bd90cc&	Прошу прощения , смотрю в шестой раз . . &['Ни одного']&100.0&KachalovskijAV
2668&bf00465a39d54fb0a506f6913800c39d&	Бля , пиздец куда , неетт песня какого хера ты играешь в этом сериале нет не туда , нееттт . . .&['Ни одного']&100.0&KachalovskijAV
2669&a5a581ae85924297affa1bbd65774f6f&	Тот криповый момент , когда проходишь мимо двинутого человека на пустынной улице , и тот пристально провожает тебя будто стеклянным взглядом&['Ни одного']&100.0&KachalovskijAV
2670&1fc9e28955d74dfbaadc85388216a681&	Хочу нормально жить , а не задыхаться от кашля каждую минуту &['Ни одного']&100.0&KachalovskijAV
2671&a7f7a1a1a9364553bd879cbe6e0dffe6&	У меня блять конченая подруга , Нора , я ее конечно продолжаю любить , но сука при встрече я ее убью ! ! ! &['Ни одного']&100.0&KachalovskijAV
2672&3fefb17aea3a4bf69a2b810027e5ec03&	Өнөөдөр яацын бээ &['Ни одного']&100.0&KachalovskijAV
2673&4f3285abded3476eb3d377a2a5088e74&	Вот это ливень&[['удивление']]&100.0&KachalovskijAV
2674&ac93f540dc944b739391fd991beebba0&	Ваще внезапно&['Ни одного']&100.0&KachalovskijAV
2675&93cdbe74094444949ae54598fbecbc39&	Почему когда на перемене сижу на диване ко мне подсаживаются самые вонючие дети ?&[['отвращение', 'удивление']]&100.0&KachalovskijAV
2676&23ef7301a2ae4576bb8c0166216ce0fa&	две прекрасные оформы&['Ни одного']&100.0&KachalovskijAV
2677&03598b22e7a24d81bee78b18e56e8fe6&	Самая любимая  Как же я буду без нее        pictwittercomsGrfsqv&[['грусть']]&100.0&KachalovskijAV
2678&ead211c7e9394f53b8f42203a8ba8e3f&	Видимо , я настолько тупая , что даже не поняла где надо было гуглить    Пойду куплю Джоджо Мойес - мой уровень &['Ни одного']&100.0&KachalovskijAV
2679&f93be78d8eac4d25b37f1fd7c3cc477f&	А некоторым даже не светит . . .  pictwittercomVVBdPbcDC&['Ни одного']&100.0&KachalovskijAV
2680&b3788c75d4034658aa66321e96ae95f8&	Доброй вам ночи Надеюсь вы хорошо поспите Но а я пошла снова учить английский и тоже спать Люблю вас ️ pictwittercomqwIHUYgn&['Ни одного']&100.0&KachalovskijAV
2681&b216a06979d3432eb7c7114ad5431257&	То чувство , когда препод на халяву поставил всей группе зачет по медицине &['Ни одного']&100.0&KachalovskijAV
2682&e2ec8165791e46518fc164e9093ca776&	Я тоже , даже идей нету  А ты не уходи  Ты всем нужна &['Ни одного']&100.0&KachalovskijAV
2683&f3a4780e5338462fbd520ee8f076a891&	Пиздец , я малявка была в ️&['Ни одного']&100.0&KachalovskijAV
2684&5ca1e42701754be08f77e1869d62e0d3&	Хоть на этом спасибо&['Ни одного']&100.0&KachalovskijAV
2685&d91181ffc38346e79f08b06e3198fb26&	Вот этоLooool был&['Ни одного']&100.0&KachalovskijAV
2686&ac93eda53930480db1874b56f97f7616&	даш ты красотка самая красивая это другие недостойны такой чести&['Ни одного']&100.0&KachalovskijAV
2687&955d123b6a0d476cb20f9f08499293b7&	Фоточки с Нового Года pictwittercomqluathOEM&['Ни одного']&100.0&KachalovskijAV
2688&7b68698c7b1e4349abdc84cbb69a941d&	Какой смысл сейчас что то говорить , когда уже впринцепи все решено Надо это было делать раньше️&['Ни одного']&100.0&KachalovskijAV
2689&7bbeec46184d43f08ad5ffc65b3f2ba2&	Retweeted ЦЭВЭГЭЭ ️ ( tsevegeenb ) :&['Ни одного']&100.0&KachalovskijAV
2690&28ef2a39a5c04b8a861378c148fa9b11&	Тут главное терпение&[['спокойствие']]&100.0&KachalovskijAV
2691&4c6c3087a8ef4beb966abaf0e85e2c37&	Если хотите чтобы я возненавидела коголибо , просто дайте его фото и попросите сделать афишу с ним &['Ни одного']&100.0&KachalovskijAV
2692&3952eac4c62e432b918ff3a0cebe4e46&	Когда целуешь V / когда надо целовать другого  # BTS # vkookpictwittercomgjgtlabPs&['Ни одного']&100.0&KachalovskijAV
2693&b57993da52ee41d8b2aee260db9e5482&	А еще мне сказали , что я - экспрессионист  Хорошо это ?&['Ни одного']&100.0&KachalovskijAV
2694&879087951a8042dfa8cdceab972d2b59&	Вот как можно каждый день спокойно уходить из дома когда собака смотрит тебе в след как на предателя родины &[['грусть']]&100.0&KachalovskijAV
2695&101425ec098d45de9537dbe482158e73&	картинагусьилебедьгделебедьэтокурицатакаяжекакигусь&['Ни одного']&100.0&KachalovskijAV
2696&e7a5b9331bc84183a909265b1ee5682d&	Только что я был очевидцем , как какойто мужик скинул с  этажа огроменный арбуз !  АРБУЗ БЛЯТЬ ! ! !&[['удивление']]&100.0&KachalovskijAV
2697&2aca98551698444da77733bfdfa69188&	А я не купила &['Ни одного']&100.0&KachalovskijAV
2698&4da060059b914bbfb24955ddb0fb4ae5&	Земля пухом&['Ни одного']&100.0&KachalovskijAV
2699&74f328ddba694865a0fe85b34d9f8ab4&	а вот тут вы можете посмотреть эту подборку , лайкнуть или сохранить &['Ни одного']&100.0&KachalovskijAV
2700&4fd46088a562499cb88787588a987921&	и Гривночку стырили . . .  pictwittercomBgbptzyf&['Ни одного']&100.0&KachalovskijAV
2701&7f4da1f12ea54263a5216d1d1068b4b3&	Энэ ямар хогын амттайм бэ  pictwittercomafOrXfwO&['Ни одного']&100.0&KachalovskijAV
2702&e1c40c009b9a45e69635917f1eb769b1&	За зазакак хочется завтра уехать в Японию , а не на пары Взгруснул&[['грусть']]&100.0&KachalovskijAV
2703&8a3a7c6992764900bc2476a92756dea3&	Я сегодн просыпаюсь , одного своего найти не могу ! &['Ни одного']&100.0&KachalovskijAV
2704&b3d8d7e1aac848e6a4d08a1fdcf9851c&	И живет в голове Женщины зверь странный  И заставляет он ее творить дела чудные  И нет на того зверя управы  И .&['Ни одного']&100.0&KachalovskijAV
2705&b5264bf25d7d4ea48e79867b623b8d49&	Вот возьму в следующий раз и проигнорю , чтоб запомнили , что слушать препода надо  pictwittercomxAZGchmp&['Ни одного']&100.0&KachalovskijAV
2706&6253b0309916475e88cbf2778e9bc46f&	Не скоро побачимось&['Ни одного']&100.0&KachalovskijAV
2707&2e9b13088020434fa765c03f28c014ca&	Приснится же такое &['Ни одного']&100.0&KachalovskijAV
2708&70048e730b974cc392a897c684fec347&	Доброго утра , лент  Удачного дня  pictwittercomAPCGj&['Ни одного']&100.0&KachalovskijAV
2709&6d8c3b2025bc40d08c45786b7f2edf3a&	инфинит значит тут зарабатывают на камбэк и лавлиз и гч так еще и оплачивают попадание ынби и чэвон в айзван , уллим собаки сутулые &['Ни одного']&100.0&KachalovskijAV
2710&ab5d92755e0441cbab53724397e59cc1&	С брэкситом уже обосрались , хотят повторить &['Ни одного']&100.0&KachalovskijAV
2711&13c60b2ae2234049805c4144ff5ad967&	Обезьянки  pictwittercomKshtxWS&['Ни одного']&100.0&KachalovskijAV
2712&693f52d76d594f5a9ff09c3888c471b2&	но я уже встречаюсь с вонхой&['Ни одного']&100.0&KachalovskijAV
2713&c73d838d854b4002865ecc6d97b73f6a&	А теперь все понял ! &['Ни одного']&100.0&KachalovskijAV
2714&f2534c65a301441d9aa61610949ac1ad&	лезть в душ с темпераиурой &['Ни одного']&100.0&KachalovskijAV
2715&d33c39078355427db5f943396af70d3c&	Where the hell is the guards &['Ни одного']&100.0&KachalovskijAV
2716&40309089e86d42c4931c3b514b9f5ba5&	Когда Андрей рассказывает про всякие областные особенности - мое удивление словами не передать .&['Ни одного']&100.0&KachalovskijAV
2717&8583d37bbaf941dfbf1d41bdfbb4e90d&	Вчера у нас прошла первая тренировка с родителями  .&['Ни одного']&100.0&KachalovskijAV
2718&cebbebfb390446858d0bbbfa57eb8106&	где ? ! где , блть , они набирают таких уродов ? ? ? это же кунсткамера на выезде ! &[['гнев']]&100.0&KachalovskijAV
2719&b7e20db980974adb94d61e256e05bf2f&	Ну , тебя  раз , а меня уже непонятно какой раз , я даже не вижу смысла считать&['Ни одного']&100.0&KachalovskijAV
2720&73d626ea7d684cc5b18d6882599d96b3&	Богиии какая же скучная химия&[['грусть', 'отвращение']]&100.0&KachalovskijAV
2721&370b0bc2ec8a41e18adcc8ae296d7acc&	А это статус !&['Ни одного']&100.0&KachalovskijAV
2722&230cf82b250646e398792b311d0a67fe&"	Мне понравилось видео "" РЕКОРДНЫЙ ДОХОД СЮРПРИЗ ОТ ADMITAD ОТЧЕТ О"&['Ни одного']&100.0&KachalovskijAV
2723&0fe8940787e748e0ab58cceecb47d5e4&	Начались судебные тяжбы , выставлены конкретные требования , так держать !&['Ни одного']&100.0&KachalovskijAV
2724&0cbb1c64cb4d475b806b4b556ce9db14&	Крч , огурцы в помощь&['Ни одного']&100.0&KachalovskijAV
2725&ba9594ebacd1437a8db2c53bfa527bb1&	Я общалась с настоящим немцем      Он говорит на русском .&['Ни одного']&100.0&KachalovskijAV
2726&599b5a598b414dba99407fafef1b82a3&	YES MY INSECURITY WAS THAT BAD .&['Ни одного']&100.0&KachalovskijAV
2727&d3a903dadfa746fbb4ae37b53e116920&	и к этому тоже ? ? &['Ни одного']&100.0&KachalovskijAV
2728&7fe1d4f623c44e5282c5fc27930dd8fd&	Сергей Федоркин Ретвитнула )  Хроники пиздеца &['Ни одного']&100.0&KachalovskijAV
2729&0253b916fe4d4639bd11deaaa4ffa1e4&	О Боже мой , я думала нк доживу&['Ни одного']&100.0&KachalovskijAV
2730&3843b383118f4994a190935c29cc21f4&	Великолепный план - давать пробник раствора к однодневным линзам ️&['Ни одного']&100.0&KachalovskijAV
2731&52eae21e759942799e7cbc1b6f19140f&	Конкретно дьабылаабыттар  откуда такие люди берутся ?&['Ни одного']&100.0&KachalovskijAV
2732&b428cbd382ff49488e69b88df17df898&	. . . . . и он прям так же улыбается   pictwittercomHQoEppl&['Ни одного']&100.0&KachalovskijAV
2733&27fee0ad9ad948258f526b99fb661ca9&	Мой день начался с контрольных , а ваш ?&['Ни одного']&100.0&KachalovskijAV
2734&6093286fbcf4451f8e681d48c4692265&	Когда же киберхоккеистам будут платить такое бабло ?&['Ни одного']&100.0&KachalovskijAV
2735&9a821460876447ed9d8d8bbc9674fd68&	Сладких снов&['Ни одного']&100.0&KachalovskijAV
2736&4048c3e25b794e908853da908afc6365&	Без шуток &['Ни одного']&100.0&KachalovskijAV
2737&968cfa5ffe624308a70cc0102de90f41&	Ужас&['Ни одного']&100.0&KachalovskijAV
2738&5469f3838a9d4ed7b2df1b0bb24613dc&	всем рекомендую ! ! ! !&['Ни одного']&100.0&KachalovskijAV
2739&477a1868ff514f93976ff19f82f4c232&	А от ПЕРУАНЦЕВ чуть ли не в глазах рябило &['Ни одного']&100.0&KachalovskijAV
2740&465117ca24f440ce8ee45082d4d6d275&	Поспеши  pictwittercomaMnJNFP&['Ни одного']&100.0&KachalovskijAV
2741&090185b68e4c4594a365c9465ff5156b&	Что это за испанский стыд&['Ни одного']&100.0&KachalovskijAV
2742&789978e4bbc04b7eaa506de21dce2d3f&	Завтра е сентября️&['Ни одного']&100.0&KachalovskijAV
2743&f364e9451a0f4ed3b2ce885782100b71&	Окей Влад .&['Ни одного']&100.0&KachalovskijAV
2744&963f90c9839b485188805ccd67f254cf&	Пожалуйста &['Ни одного']&100.0&KachalovskijAV
2745&8711e9c681b6471685f4b537e48d4bfc&	Слезы полились и сердце сжалось&['Ни одного']&100.0&KachalovskijAV
2746&a6d6a3c69e8a44918ede85bdc471aedc&	Я очень хочу видеть в ленте мордашки твиттерских пожаааааалуйста Я взаимная pictwittercomRQPmUabx&['Ни одного']&100.0&KachalovskijAV
2747&533ba98fd85648f3b5c39d98f0f19691&	Подметаллика &['Ни одного']&100.0&KachalovskijAV
2748&97942fd7862749e3b6c711a97293007a&	Не слышу зла&['Ни одного']&100.0&KachalovskijAV
2749&718665f3a06a4ce9bea8e5f08339936b&	No puedo con esto &['Ни одного']&100.0&KachalovskijAV
2750&1aca0a17233c4170a98599eecf5495c4&	Никак &['Ни одного']&100.0&KachalovskijAV
2751&51571968e82140a89b36e1745cdfc3ae&	Считанные дни остаются главного мужского праздника в году Стильные запонки с . . .&['Ни одного']&100.0&KachalovskijAV
2752&7c8594170bf440398b033ed16f101f17&	В субботу  пары с  :  это ж надо вставать в  :  и выйти в  :  .&[['грусть']]&100.0&KachalovskijAV
2753&4cb6e6db02ec41b5b0d9c192d221a9ed&	ilexxuss Ретвитнул ( а ) АНДРЕЙ ЮРИЧ&['Ни одного']&100.0&KachalovskijAV
2754&667ecf66f37a430fbb0a14522ceb0cad&	Нога болит третий день &[['грусть']]&100.0&KachalovskijAV
2755&15196ddbc7b14daea15cc209733490d5&	Так хочется прийти домой , где тебя ждет любимый человек и раствориться в его вкусных объятиях&['Ни одного']&100.0&KachalovskijAV
2756&ae2e229a46f2416787454f876782bb03&	Обожаю ржать над малолетками , которые выкладывают фотки с бухлом&['Ни одного']&100.0&KachalovskijAV
2757&d5a8d1208b8d46d9853bd833da60cf10&	Сколько # радости # Lucky принесла нашей семье . . .  &['Ни одного']&100.0&KachalovskijAV
2758&98a3dbeee85b49c8a62141fc896a7af0&	Ооооо Да это же сериал моего детства , помню как смотрела и как он мне нравился  Хотя вообще сюжета сейчас не вспомню&['Ни одного']&100.0&KachalovskijAV
2759&c8f75697c05849989e38438c570570f3&	Ну что ж , доказала и им и себе&['Ни одного']&100.0&KachalovskijAV
2760&4c19e4d80aad4c3195230787d97b56cb&	Шедевр&['Ни одного']&100.0&KachalovskijAV
2761&f7767bf6acb240a4a0fa9b972252a0c2&	Алелуя я пришла домой&['Ни одного']&100.0&KachalovskijAV
2762&2d44b9c9b1424bf7847811f3b246331a&	Узнала много нового  , но ответа не получила&['Ни одного']&100.0&KachalovskijAV
2763&7b0e80cfd1d74cdb8b49ddbe7a8cf7a6&	каеф , когда есть свой пездюк&['Ни одного']&100.0&KachalovskijAV
2764&b7b22ba240774561b3f727e66701c4a6&	РАСПРОДАЖА ! ! !  / ВСЕ В НАЛИЧИИ В КОЛИЧЕСТВЕ . .&['Ни одного']&100.0&KachalovskijAV
